Block,Seq,Start,End,Strand
67,NZ_CP012727.1,3249204,3274400,+
67,NZ_CP047131.1,3235133,3260328,+
67,NZ_CP014179.1,3248641,3273837,+
67,NZ_CP009981.1,1242965,1217769,-
67,NZ_CP023001.1,1014248,1039444,+
67,NZ_CP012721.1,3249205,3274401,+
67,NZ_CP010852.1,3503399,3528596,+
67,NZ_CP031642.1,3300069,3325309,+
67,NC_012581.1,990103,964907,-
67,NZ_CP029805.1,3248792,3273989,+
67,NZ_CP010322.1,965618,990817,+
67,NZ_CP031643.1,3301138,3327560,+
67,NZ_CP047111.1,4851847,4826651,-
67,NZ_CP007618.1,773068,747870,-
67,NZ_CP001970.2,3249425,3274621,+
67,NZ_CP006742.1,3234070,3259266,+
67,NZ_CP009902.1,3843426,3818228,-
67,NZ_CP001974.2,3249377,3274573,+
67,NZ_CP022044.1,820689,845885,+
67,NZ_CP008854.1,3247899,3273092,+
67,NZ_CP009464.1,3076734,3051538,-
67,NZ_CP047097.1,2398721,2423917,+
67,NZ_CP007666.1,2121779,2146975,+
67,NZ_CP008846.1,3235525,3260721,+
67,NZ_CP009341.1,548074,573270,+
67,NZ_CP012728.1,3249191,3274387,+
67,NZ_CP015779.1,3248514,3273710,+
67,NZ_AP018443.1,3239445,3264640,+
67,NZ_CP012725.1,3249205,3274401,+
67,NZ_CP012729.1,3249201,3274397,+
67,NC_007530.2,3248641,3273837,+
67,NZ_CP047099.1,3626143,3651339,+
67,NZ_CP009700.1,4339713,4314517,-
67,NZ_CP001974.1,3248647,3273844,+
67,NC_017729.1,3239026,3264222,+
67,NZ_CP012720.1,3249205,3274401,+
67,NZ_CP012726.1,3249172,3274368,+
67,NC_003997.3,3248514,3273710,+
67,NZ_CP009541.1,4604602,4579406,-
67,NZ_CP012723.1,3249205,3274401,+
67,NZ_CP029323.1,3235425,3260620,+
67,NZ_CP008853.1,3248409,3273606,+
67,NZ_CP009476.1,4740938,4715742,-
67,NZ_CP012722.1,3249205,3274401,+
67,NC_005945.1,3249207,3274403,+
67,NZ_CP047104.1,1007282,1032478,+
67,NZ_CP001970.1,3249157,3274354,+
66,NZ_CP009697.1,1219342,1229737,+
66,NZ_CP009328.1,2019742,2030137,+
66,NZ_CP009315.1,5031592,5041987,+
66,NZ_AP019731.1,2122521,2132916,+
66,NZ_AP014833.1,2242847,2232452,-
66,NZ_CP047098.1,4392870,4382475,-
66,NZ_CP009325.1,1985494,1975099,-
66,NZ_CP019588.1,3227124,3237519,+
66,NZ_CP009544.1,1648204,1637809,-
66,NZ_CP012730.1,3227120,3237515,+
66,NZ_CP012724.1,3227116,3237511,+
66,NZ_CP009331.1,3449994,3439599,-
66,NZ_CP009598.1,1637366,1626971,-
66,NC_012659.1,3226452,3236847,+
66,NZ_CP047107.1,3760684,3750289,-
66,NZ_CP018903.1,3226589,3236984,+
66,NZ_CP012727.1,3227115,3237510,+
66,NZ_CP047131.1,3213039,3223434,+
66,NZ_CP014179.1,3226552,3236947,+
66,NZ_CP009981.1,1265054,1254659,-
66,NZ_CP023001.1,992159,1002554,+
66,NZ_CP012721.1,3227116,3237511,+
66,NZ_CP010852.1,3481310,3491705,+
66,NZ_CP031642.1,3284497,3294995,+
66,NC_012581.1,1012204,1001809,-
66,NZ_CP029805.1,3226703,3237098,+
66,NZ_CP010322.1,943529,953924,+
66,NZ_CP031643.1,3279942,3290468,+
66,NZ_CP047111.1,4873936,4863541,-
66,NZ_CP007618.1,795163,784768,-
66,NZ_CP001970.2,3227336,3237731,+
66,NZ_CP006742.1,3211976,3222372,+
66,NZ_CP009902.1,3865521,3855126,-
66,NZ_CP001974.2,3227288,3237683,+
66,NZ_CP022044.1,798600,808995,+
66,NZ_CP008854.1,3225814,3236206,+
66,NZ_CP009464.1,3098822,3088427,-
66,NZ_CP047097.1,2376632,2387027,+
66,NZ_CP007666.1,2099678,2110073,+
66,NZ_CP008846.1,3213431,3223826,+
66,NZ_CP009341.1,525978,536373,+
66,NZ_CP012728.1,3227102,3237497,+
66,NZ_CP015779.1,3226425,3236820,+
66,NZ_AP018443.1,3217355,3227750,+
66,NZ_CP012725.1,3227116,3237511,+
66,NZ_CP012729.1,3227112,3237507,+
66,NC_007530.2,3226552,3236947,+
66,NZ_CP047099.1,3604054,3614449,+
66,NZ_CP009700.1,4361807,4351411,-
66,NZ_CP001974.1,3226559,3236953,+
66,NC_017729.1,3216937,3227332,+
66,NZ_CP012720.1,3227116,3237511,+
66,NZ_CP012726.1,3227083,3237478,+
66,NC_003997.3,3226425,3236820,+
66,NZ_CP009541.1,4626691,4616296,-
66,NZ_CP012723.1,3227116,3237511,+
66,NZ_CP029323.1,3213331,3223726,+
66,NZ_CP008853.1,3226320,3236714,+
66,NZ_CP009476.1,4763028,4752633,-
66,NZ_CP012722.1,3227116,3237511,+
66,NC_005945.1,3227118,3237513,+
66,NZ_CP047104.1,985193,995588,+
66,NZ_CP001970.1,3227068,3237463,+
65,NZ_CP009697.1,1203908,1218293,+
65,NZ_CP009328.1,2004306,2018693,+
65,NZ_CP009315.1,5016156,5030543,+
65,NZ_AP019731.1,2107085,2121472,+
65,NZ_AP014833.1,2258283,2243896,-
65,NZ_CP047098.1,4408306,4393919,-
65,NZ_CP009325.1,2000930,1986543,-
65,NZ_CP019588.1,3211688,3226075,+
65,NZ_CP009544.1,1663640,1649253,-
65,NZ_CP012730.1,3211684,3226071,+
65,NZ_CP012724.1,3211680,3226067,+
65,NZ_CP009331.1,3465430,3451043,-
65,NZ_CP009598.1,1652802,1638415,-
65,NC_012659.1,3211016,3225403,+
65,NZ_CP047107.1,3776120,3761733,-
65,NZ_CP018903.1,3211153,3225540,+
65,NZ_CP012727.1,3211679,3226066,+
65,NZ_CP047131.1,3197603,3211990,+
65,NZ_CP014179.1,3211116,3225503,+
65,NZ_CP009981.1,1280490,1266103,-
65,NZ_CP023001.1,976725,991110,+
65,NZ_CP012721.1,3211680,3226067,+
65,NZ_CP010852.1,3465874,3480261,+
65,NZ_CP031642.1,3267656,3282039,+
65,NC_012581.1,1027640,1013253,-
65,NZ_CP029805.1,3211267,3225654,+
65,NZ_CP010322.1,928093,942480,+
65,NZ_CP031643.1,3255691,3270430,+
65,NZ_CP047111.1,4889372,4874985,-
65,NZ_CP007618.1,810599,796212,-
65,NZ_CP001970.2,3211900,3226287,+
65,NZ_CP006742.1,3196539,3210927,+
65,NZ_CP009902.1,3880957,3866570,-
65,NZ_CP001974.2,3211852,3226239,+
65,NZ_CP022044.1,783164,797551,+
65,NZ_CP008854.1,3210379,3224765,+
65,NZ_CP009464.1,3114258,3099871,-
65,NZ_CP047097.1,2361196,2375583,+
65,NZ_CP007666.1,2084242,2098629,+
65,NZ_CP008846.1,3197994,3212382,+
65,NZ_CP009341.1,510542,524929,+
65,NZ_CP012728.1,3211666,3226053,+
65,NZ_CP015779.1,3210989,3225376,+
65,NZ_AP018443.1,3201919,3216306,+
65,NZ_CP012725.1,3211680,3226067,+
65,NZ_CP012729.1,3211676,3226063,+
65,NC_007530.2,3211116,3225503,+
65,NZ_CP047099.1,3588618,3603005,+
65,NZ_CP009700.1,4377244,4362856,-
65,NZ_CP001974.1,3211123,3225510,+
65,NC_017729.1,3201500,3215888,+
65,NZ_CP012720.1,3211680,3226067,+
65,NZ_CP012726.1,3211647,3226034,+
65,NC_003997.3,3210989,3225376,+
65,NZ_CP009541.1,4642127,4627740,-
65,NZ_CP012723.1,3211680,3226067,+
65,NZ_CP029323.1,3197895,3212282,+
65,NZ_CP008853.1,3210885,3225271,+
65,NZ_CP009476.1,4778464,4764077,-
65,NZ_CP012722.1,3211680,3226067,+
65,NC_005945.1,3211682,3226069,+
65,NZ_CP047104.1,969757,984144,+
65,NZ_CP001970.1,3211632,3226019,+
64,NZ_CP009697.1,1195571,1202943,+
64,NZ_CP009328.1,1995969,2003341,+
64,NZ_CP009315.1,5007819,5015191,+
64,NZ_AP019731.1,2098748,2106120,+
64,NZ_AP014833.1,2266530,2259248,-
64,NZ_CP047098.1,4416553,4409271,-
64,NZ_CP009325.1,2009177,2001895,-
64,NZ_CP019588.1,3203351,3210723,+
64,NZ_CP009544.1,1671887,1664605,-
64,NZ_CP012730.1,3203347,3210719,+
64,NZ_CP012724.1,3203343,3210715,+
64,NZ_CP009331.1,3473677,3466395,-
64,NZ_CP009598.1,1661049,1653767,-
64,NC_012659.1,3202679,3210051,+
64,NZ_CP047107.1,3784367,3777085,-
64,NZ_CP018903.1,3202816,3210188,+
64,NZ_CP012727.1,3203342,3210714,+
64,NZ_CP047131.1,3189266,3196638,+
64,NZ_CP014179.1,3202779,3210151,+
64,NZ_CP009981.1,1288737,1281455,-
64,NZ_CP023001.1,968388,975760,+
64,NZ_CP012721.1,3203343,3210715,+
64,NZ_CP010852.1,3457537,3464909,+
64,NZ_CP031642.1,3256349,3264854,+
64,NC_012581.1,1035887,1028605,-
64,NZ_CP029805.1,3202930,3210302,+
64,NZ_CP010322.1,919756,927128,+
64,NZ_CP031643.1,3246899,3254726,+
64,NZ_CP047111.1,4897619,4890337,-
64,NZ_CP007618.1,818847,811564,-
64,NZ_CP001970.2,3203563,3210935,+
64,NZ_CP006742.1,3188202,3195574,+
64,NZ_CP009902.1,3889205,3881922,-
64,NZ_CP001974.2,3203515,3210887,+
64,NZ_CP022044.1,774827,782199,+
64,NZ_CP008854.1,3202134,3209414,+
64,NZ_CP009464.1,3122505,3115223,-
64,NZ_CP047097.1,2352859,2360231,+
64,NZ_CP007666.1,2075905,2083277,+
64,NZ_CP008846.1,3189657,3197029,+
64,NZ_CP009341.1,502205,509577,+
64,NZ_CP012728.1,3203329,3210701,+
64,NZ_CP015779.1,3202652,3210024,+
64,NZ_AP018443.1,3193582,3200954,+
64,NZ_CP012725.1,3203343,3210715,+
64,NZ_CP012729.1,3203339,3210711,+
64,NC_007530.2,3202779,3210151,+
64,NZ_CP047099.1,3580281,3587653,+
64,NZ_CP009700.1,4385491,4378209,-
64,NZ_CP001974.1,3202786,3210158,+
64,NC_017729.1,3193163,3200535,+
64,NZ_CP012720.1,3203343,3210715,+
64,NZ_CP012726.1,3203310,3210682,+
64,NC_003997.3,3202652,3210024,+
64,NZ_CP009541.1,4650374,4643092,-
64,NZ_CP012723.1,3203343,3210715,+
64,NZ_CP029323.1,3189558,3196930,+
64,NZ_CP008853.1,3202549,3209920,+
64,NZ_CP009476.1,4786711,4779429,-
64,NZ_CP012722.1,3203343,3210715,+
64,NC_005945.1,3203345,3210717,+
64,NZ_CP047104.1,961420,968792,+
64,NZ_CP001970.1,3203293,3210667,+
63,NZ_CP009697.1,1182517,1188545,+
63,NZ_CP009328.1,1982918,1988946,+
63,NZ_CP009315.1,4994768,5000796,+
63,NZ_AP019731.1,2085698,2091726,+
63,NZ_AP014833.1,2279671,2273643,-
63,NZ_CP047098.1,4429694,4423666,-
63,NZ_CP009325.1,2022318,2016290,-
63,NZ_CP019588.1,3190300,3196328,+
63,NZ_CP009544.1,1685028,1679000,-
63,NZ_CP012730.1,3190296,3196324,+
63,NZ_CP012724.1,3190292,3196320,+
63,NZ_CP009331.1,3486908,3480880,-
63,NZ_CP009598.1,1674190,1668162,-
63,NC_012659.1,3189628,3195656,+
63,NZ_CP047107.1,3797508,3791480,-
63,NZ_CP018903.1,3189765,3195793,+
63,NZ_CP012727.1,3190291,3196319,+
63,NZ_CP047131.1,3176215,3182243,+
63,NZ_CP014179.1,3189728,3195756,+
63,NZ_CP009981.1,1301878,1295850,-
63,NZ_CP023001.1,955337,961365,+
63,NZ_CP012721.1,3190292,3196320,+
63,NZ_CP010852.1,3444486,3450514,+
63,NZ_CP031642.1,3249121,3255033,+
63,NC_012581.1,1049028,1043000,-
63,NZ_CP029805.1,3189879,3195907,+
63,NZ_CP010322.1,906705,912733,+
63,NZ_CP031643.1,3236198,3242227,+
63,NZ_CP047111.1,4910760,4904732,-
63,NZ_CP007618.1,831985,825961,-
63,NZ_CP001970.2,3190512,3196540,+
63,NZ_CP006742.1,3175152,3181180,+
63,NZ_CP009902.1,3902343,3896319,-
63,NZ_CP001974.2,3190464,3196492,+
63,NZ_CP022044.1,761776,767804,+
63,NZ_CP008854.1,3189085,3195111,+
63,NZ_CP009464.1,3135646,3129618,-
63,NZ_CP047097.1,2339808,2345836,+
63,NZ_CP007666.1,2062854,2068882,+
63,NZ_CP008846.1,3176606,3182634,+
63,NZ_CP009341.1,489154,495182,+
63,NZ_CP012728.1,3190278,3196306,+
63,NZ_CP015779.1,3189601,3195629,+
63,NZ_AP018443.1,3180531,3186559,+
63,NZ_CP012725.1,3190292,3196320,+
63,NZ_CP012729.1,3190288,3196316,+
63,NC_007530.2,3189728,3195756,+
63,NZ_CP047099.1,3567230,3573258,+
63,NZ_CP009700.1,4398632,4392604,-
63,NZ_CP001974.1,3189735,3195763,+
63,NC_017729.1,3180116,3186144,+
63,NZ_CP012720.1,3190292,3196320,+
63,NZ_CP012726.1,3190259,3196287,+
63,NC_003997.3,3189601,3195629,+
63,NZ_CP009541.1,4663515,4657487,-
63,NZ_CP012723.1,3190292,3196320,+
63,NZ_CP029323.1,3176507,3182535,+
63,NZ_CP008853.1,3189498,3195526,+
63,NZ_CP009476.1,4799852,4793824,-
63,NZ_CP012722.1,3190292,3196320,+
63,NC_005945.1,3190294,3196322,+
63,NZ_CP047104.1,948369,954397,+
63,NZ_CP001970.1,3190242,3196270,+
62,NZ_CP009697.1,1169356,1181807,+
62,NZ_CP009328.1,1969758,1982208,+
62,NZ_CP009315.1,4981608,4994058,+
62,NZ_AP019731.1,2072534,2084988,+
62,NZ_AP014833.1,2292829,2280381,-
62,NZ_CP047098.1,4442852,4430404,-
62,NZ_CP009325.1,2035477,2023028,-
62,NZ_CP019588.1,3177141,3189590,+
62,NZ_CP009544.1,1698188,1685738,-
62,NZ_CP012730.1,3177137,3189586,+
62,NZ_CP012724.1,3177133,3189582,+
62,NZ_CP009331.1,3500066,3487618,-
62,NZ_CP009598.1,1687350,1674900,-
62,NC_012659.1,3176469,3188918,+
62,NZ_CP047107.1,3810666,3798218,-
62,NZ_CP018903.1,3176603,3189055,+
62,NZ_CP012727.1,3177132,3189581,+
62,NZ_CP047131.1,3163054,3175505,+
62,NZ_CP014179.1,3176569,3189018,+
62,NZ_CP009981.1,1315036,1302588,-
62,NZ_CP023001.1,942178,954624,+
62,NZ_CP012721.1,3177133,3189582,+
62,NZ_CP010852.1,3431326,3443776,+
62,NZ_CP031642.1,3235816,3247575,+
62,NC_012581.1,1062186,1049738,-
62,NZ_CP029805.1,3176719,3189169,+
62,NZ_CP010322.1,893545,905995,+
62,NZ_CP031643.1,3222689,3235488,+
62,NZ_CP047111.1,4923918,4911470,-
62,NZ_CP007618.1,845145,832695,-
62,NZ_CP001970.2,3177354,3189802,+
62,NZ_CP006742.1,3161991,3174442,+
62,NZ_CP009902.1,3915503,3903053,-
62,NZ_CP001974.2,3177305,3189754,+
62,NZ_CP022044.1,748617,761066,+
62,NZ_CP008854.1,3175927,3188375,+
62,NZ_CP009464.1,3148805,3136356,-
62,NZ_CP047097.1,2326649,2339098,+
62,NZ_CP007666.1,2049694,2062144,+
62,NZ_CP008846.1,3163445,3175896,+
62,NZ_CP009341.1,475994,488444,+
62,NZ_CP012728.1,3177119,3189568,+
62,NZ_CP015779.1,3176442,3188891,+
62,NZ_AP018443.1,3167370,3179821,+
62,NZ_CP012725.1,3177133,3189582,+
62,NZ_CP012729.1,3177129,3189578,+
62,NC_007530.2,3176569,3189018,+
62,NZ_CP047099.1,3554071,3566520,+
62,NZ_CP009700.1,4411792,4399342,-
62,NZ_CP001974.1,3176576,3189025,+
62,NC_017729.1,3167007,3179406,+
62,NZ_CP012720.1,3177133,3189582,+
62,NZ_CP012726.1,3177100,3189549,+
62,NC_003997.3,3176442,3188891,+
62,NZ_CP009541.1,4676673,4664225,-
62,NZ_CP012723.1,3177133,3189582,+
62,NZ_CP029323.1,3163346,3175797,+
62,NZ_CP008853.1,3176338,3188788,+
62,NZ_CP009476.1,4813011,4800562,-
62,NZ_CP012722.1,3177133,3189582,+
62,NC_005945.1,3177135,3189584,+
62,NZ_CP047104.1,935211,947659,+
62,NZ_CP001970.1,3177083,3189532,+
61,NZ_CP009697.1,1140575,1151010,+
61,NZ_CP009328.1,1940948,1951413,+
61,NZ_CP009315.1,4952798,4963263,+
61,NZ_AP019731.1,2043753,2054188,+
61,NZ_AP014833.1,2321639,2311175,-
61,NZ_CP047098.1,4471662,4461198,-
61,NZ_CP009325.1,2064287,2053823,-
61,NZ_CP019588.1,3148331,3158796,+
61,NZ_CP009544.1,1726967,1716534,-
61,NZ_CP012730.1,3148327,3158792,+
61,NZ_CP012724.1,3148323,3158788,+
61,NZ_CP009331.1,3528875,3518412,-
61,NZ_CP009598.1,1716129,1705696,-
61,NC_012659.1,3147659,3158124,+
61,NZ_CP047107.1,3839476,3829012,-
61,NZ_CP018903.1,3147822,3158257,+
61,NZ_CP012727.1,3148322,3158787,+
61,NZ_CP047131.1,3134273,3144708,+
61,NZ_CP014179.1,3147759,3158224,+
61,NZ_CP009981.1,1343846,1333382,-
61,NZ_CP023001.1,913368,923833,+
61,NZ_CP012721.1,3148323,3158788,+
61,NZ_CP010852.1,3402516,3412981,+
61,NZ_CP031642.1,3220067,3230475,+
61,NC_012581.1,1090996,1080532,-
61,NZ_CP029805.1,3147921,3158386,+
61,NZ_CP010322.1,864765,875200,+
61,NZ_CP031643.1,3186312,3196761,+
61,NZ_CP047111.1,4952728,4942264,-
61,NZ_CP007618.1,873909,863476,-
61,NZ_CP001970.2,3148544,3159009,+
61,NZ_CP006742.1,3133209,3143645,+
61,NZ_CP009902.1,3944268,3933834,-
61,NZ_CP001974.2,3148495,3158960,+
61,NZ_CP022044.1,719807,730272,+
61,NZ_CP008854.1,3147118,3157583,+
61,NZ_CP009464.1,3177615,3167151,-
61,NZ_CP047097.1,2297839,2308304,+
61,NZ_CP007666.1,2020884,2031349,+
61,NZ_CP008846.1,3134664,3145099,+
61,NZ_CP009341.1,447184,457649,+
61,NZ_CP012728.1,3148309,3158774,+
61,NZ_CP015779.1,3147632,3158097,+
61,NZ_AP018443.1,3138561,3149026,+
61,NZ_CP012725.1,3148323,3158788,+
61,NZ_CP012729.1,3148319,3158784,+
61,NC_007530.2,3147759,3158224,+
61,NZ_CP047099.1,3525261,3535726,+
61,NZ_CP009700.1,4440574,4430139,-
61,NZ_CP001974.1,3147767,3158232,+
61,NC_017729.1,3138227,3148662,+
61,NZ_CP012720.1,3148323,3158788,+
61,NZ_CP012726.1,3148290,3158755,+
61,NC_003997.3,3147632,3158097,+
61,NZ_CP009541.1,4705483,4695019,-
61,NZ_CP012723.1,3148323,3158788,+
61,NZ_CP029323.1,3134565,3145000,+
61,NZ_CP008853.1,3147527,3157992,+
61,NZ_CP009476.1,4841821,4831357,-
61,NZ_CP012722.1,3148323,3158788,+
61,NC_005945.1,3148325,3158790,+
61,NZ_CP047104.1,906401,916866,+
61,NZ_CP001970.1,3148273,3158738,+
60,NZ_CP009697.1,1131435,1138110,+
60,NZ_CP009328.1,1931808,1938483,+
60,NZ_CP009315.1,4943658,4950333,+
60,NZ_AP019731.1,2034613,2041288,+
60,NZ_AP014833.1,2330780,2324105,-
60,NZ_CP047098.1,4480803,4474128,-
60,NZ_CP009325.1,2073428,2066753,-
60,NZ_CP019588.1,3139191,3145866,+
60,NZ_CP009544.1,1736105,1729433,-
60,NZ_CP012730.1,3139187,3145862,+
60,NZ_CP012724.1,3139183,3145858,+
60,NZ_CP009331.1,3538016,3531341,-
60,NZ_CP009598.1,1725267,1718595,-
60,NC_012659.1,3138519,3145194,+
60,NZ_CP047107.1,3848617,3841942,-
60,NZ_CP018903.1,3138682,3145357,+
60,NZ_CP012727.1,3139182,3145857,+
60,NZ_CP047131.1,3125133,3131808,+
60,NZ_CP014179.1,3138619,3145294,+
60,NZ_CP009981.1,1352987,1346312,-
60,NZ_CP023001.1,904228,910903,+
60,NZ_CP012721.1,3139183,3145858,+
60,NZ_CP010852.1,3393376,3400051,+
60,NZ_CP031642.1,3210929,3217602,+
60,NC_012581.1,1100137,1093462,-
60,NZ_CP029805.1,3138825,3145456,+
60,NZ_CP010322.1,855625,862300,+
60,NZ_CP031643.1,3171070,3177756,+
60,NZ_CP047111.1,4961869,4955194,-
60,NZ_CP007618.1,883060,876375,-
60,NZ_CP001970.2,3139404,3146079,+
60,NZ_CP006742.1,3124070,3130744,+
60,NZ_CP009902.1,3953410,3946734,-
60,NZ_CP001974.2,3139355,3146030,+
60,NZ_CP022044.1,710667,717342,+
60,NZ_CP008854.1,3137977,3144652,+
60,NZ_CP009464.1,3186756,3180081,-
60,NZ_CP047097.1,2288699,2295374,+
60,NZ_CP007666.1,2011744,2018419,+
60,NZ_CP008846.1,3125524,3132199,+
60,NZ_CP009341.1,438044,444719,+
60,NZ_CP012728.1,3139169,3145844,+
60,NZ_CP015779.1,3138492,3145167,+
60,NZ_AP018443.1,3129421,3136096,+
60,NZ_CP012725.1,3139183,3145858,+
60,NZ_CP012729.1,3139179,3145854,+
60,NC_007530.2,3138619,3145294,+
60,NZ_CP047099.1,3516121,3522796,+
60,NZ_CP009700.1,4449714,4443040,-
60,NZ_CP001974.1,3138627,3145302,+
60,NC_017729.1,3129089,3135762,+
60,NZ_CP012720.1,3139183,3145858,+
60,NZ_CP012726.1,3139150,3145825,+
60,NC_003997.3,3138492,3145167,+
60,NZ_CP009541.1,4714624,4707949,-
60,NZ_CP012723.1,3139183,3145858,+
60,NZ_CP029323.1,3125425,3132100,+
60,NZ_CP008853.1,3138386,3145062,+
60,NZ_CP009476.1,4850962,4844287,-
60,NZ_CP012722.1,3139183,3145858,+
60,NC_005945.1,3139185,3145860,+
60,NZ_CP047104.1,897261,903936,+
60,NZ_CP001970.1,3139133,3145808,+
59,NZ_CP009697.1,1125130,1131346,+
59,NZ_CP009328.1,1925503,1931719,+
59,NZ_CP009315.1,4937353,4943569,+
59,NZ_AP019731.1,2028308,2034524,+
59,NZ_AP014833.1,2337085,2330869,-
59,NZ_CP047098.1,4487108,4480892,-
59,NZ_CP009325.1,2079733,2073517,-
59,NZ_CP019588.1,3132886,3139102,+
59,NZ_CP009544.1,1742410,1736194,-
59,NZ_CP012730.1,3132882,3139098,+
59,NZ_CP012724.1,3132878,3139094,+
59,NZ_CP009331.1,3544321,3538105,-
59,NZ_CP009598.1,1731572,1725356,-
59,NC_012659.1,3132214,3138430,+
59,NZ_CP047107.1,3854922,3848706,-
59,NZ_CP018903.1,3132377,3138593,+
59,NZ_CP012727.1,3132877,3139093,+
59,NZ_CP047131.1,3118828,3125044,+
59,NZ_CP014179.1,3132314,3138530,+
59,NZ_CP009981.1,1359292,1353076,-
59,NZ_CP023001.1,897923,904139,+
59,NZ_CP012721.1,3132878,3139094,+
59,NZ_CP010852.1,3387071,3393287,+
59,NZ_CP031642.1,3204668,3210841,+
59,NC_012581.1,1106442,1100226,-
59,NZ_CP029805.1,3132520,3138736,+
59,NZ_CP010322.1,849320,855536,+
59,NZ_CP031643.1,3164764,3170982,+
59,NZ_CP047111.1,4968174,4961958,-
59,NZ_CP007618.1,889365,883149,-
59,NZ_CP001970.2,3133099,3139315,+
59,NZ_CP006742.1,3117765,3123981,+
59,NZ_CP009902.1,3959715,3953499,-
59,NZ_CP001974.2,3133050,3139266,+
59,NZ_CP022044.1,704362,710578,+
59,NZ_CP008854.1,3131673,3137888,+
59,NZ_CP009464.1,3193061,3186845,-
59,NZ_CP047097.1,2282394,2288610,+
59,NZ_CP007666.1,2005439,2011655,+
59,NZ_CP008846.1,3119219,3125435,+
59,NZ_CP009341.1,431739,437955,+
59,NZ_CP012728.1,3132864,3139080,+
59,NZ_CP015779.1,3132187,3138403,+
59,NZ_AP018443.1,3123116,3129332,+
59,NZ_CP012725.1,3132878,3139094,+
59,NZ_CP012729.1,3132874,3139090,+
59,NC_007530.2,3132314,3138530,+
59,NZ_CP047099.1,3509816,3516032,+
59,NZ_CP009700.1,4456019,4449803,-
59,NZ_CP001974.1,3132322,3138538,+
59,NC_017729.1,3122784,3129000,+
59,NZ_CP012720.1,3132878,3139094,+
59,NZ_CP012726.1,3132845,3139061,+
59,NC_003997.3,3132187,3138403,+
59,NZ_CP009541.1,4720929,4714713,-
59,NZ_CP012723.1,3132878,3139094,+
59,NZ_CP029323.1,3119120,3125336,+
59,NZ_CP008853.1,3132082,3138297,+
59,NZ_CP009476.1,4857267,4851051,-
59,NZ_CP012722.1,3132878,3139094,+
59,NC_005945.1,3132880,3139096,+
59,NZ_CP047104.1,890956,897172,+
59,NZ_CP001970.1,3132827,3139044,+
58,NZ_CP009697.1,1099676,1121478,+
58,NZ_CP009328.1,1900049,1921851,+
58,NZ_CP009315.1,4911899,4933701,+
58,NZ_AP019731.1,2002853,2024656,+
58,NZ_AP014833.1,2362537,2340735,-
58,NZ_CP047098.1,4512560,4490758,-
58,NZ_CP009325.1,2105187,2083385,-
58,NZ_CP019588.1,3107434,3129236,+
58,NZ_CP009544.1,1767862,1746060,-
58,NZ_CP012730.1,3107430,3129232,+
58,NZ_CP012724.1,3107426,3129228,+
58,NZ_CP009331.1,3569715,3547973,-
58,NZ_CP009598.1,1757024,1735222,-
58,NC_012659.1,3106762,3128564,+
58,NZ_CP047107.1,3880374,3858572,-
58,NZ_CP018903.1,3106923,3128725,+
58,NZ_CP012727.1,3107425,3129227,+
58,NZ_CP047131.1,3093374,3115176,+
58,NZ_CP014179.1,3106862,3128664,+
58,NZ_CP009981.1,1384744,1362942,-
58,NZ_CP023001.1,872471,894273,+
58,NZ_CP012721.1,3107426,3129228,+
58,NZ_CP010852.1,3361617,3383419,+
58,NZ_CP031642.1,3182862,3204492,+
58,NC_012581.1,1131896,1110094,-
58,NZ_CP029805.1,3107076,3128868,+
58,NZ_CP010322.1,823866,845668,+
58,NZ_CP031643.1,3138191,3161112,+
58,NZ_CP047111.1,4993626,4971824,-
58,NZ_CP007618.1,914819,893017,-
58,NZ_CP001970.2,3107647,3129449,+
58,NZ_CP006742.1,3092310,3114113,+
58,NZ_CP009902.1,3985168,3963367,-
58,NZ_CP001974.2,3107598,3129400,+
58,NZ_CP022044.1,678910,700712,+
58,NZ_CP008854.1,3106220,3128023,+
58,NZ_CP009464.1,3218515,3196713,-
58,NZ_CP047097.1,2256942,2278744,+
58,NZ_CP007666.1,1979985,2001787,+
58,NZ_CP008846.1,3093764,3115567,+
58,NZ_CP009341.1,406287,428089,+
58,NZ_CP012728.1,3107412,3129214,+
58,NZ_CP015779.1,3106735,3128537,+
58,NZ_AP018443.1,3097662,3119464,+
58,NZ_CP012725.1,3107426,3129228,+
58,NZ_CP012729.1,3107422,3129224,+
58,NC_007530.2,3106862,3128664,+
58,NZ_CP047099.1,3484364,3506166,+
58,NZ_CP009700.1,4481474,4459671,-
58,NZ_CP001974.1,3106865,3128671,+
58,NC_017729.1,3097330,3119132,+
58,NZ_CP012720.1,3107426,3129228,+
58,NZ_CP012726.1,3107393,3129195,+
58,NC_003997.3,3106734,3128536,+
58,NZ_CP009541.1,4746381,4724579,-
58,NZ_CP012723.1,3107426,3129228,+
58,NZ_CP029323.1,3093666,3115468,+
58,NZ_CP008853.1,3106629,3128430,+
58,NZ_CP009476.1,4882741,4860919,-
58,NZ_CP012722.1,3107426,3129228,+
58,NC_005945.1,3107428,3129230,+
58,NZ_CP047104.1,865504,887306,+
58,NZ_CP001970.1,3107375,3129177,+
57,NZ_CP009697.1,1088250,1094213,+
57,NZ_CP009328.1,1888662,1894586,+
57,NZ_CP009315.1,4900512,4906436,+
57,NZ_AP019731.1,1991468,1997391,+
57,NZ_AP014833.1,2373924,2368000,-
57,NZ_CP047098.1,4523947,4518023,-
