assembly,chromosome,description
GCF_008619795.1_ASM861979v1,NZ_AP020316.1,Staphylococcus aureus KUH140331 DNA
GCF_003827915.1_ASM382791v1,NZ_CP033865.1,Staphylococcus aureus strain FDAARGOS_504
GCF_007410625.1_ASM741062v1,NZ_CP040625.1,Staphylococcus aureus strain JKD6004-DR
GCF_001879545.1_ASM187954v1,NZ_CP013132.1,Staphylococcus aureus strain FORC_026
GCF_001986135.1_ASM198613v1,NZ_CP019563.1,Staphylococcus aureus strain SR434
GCF_900324275.1_6_LA_232,NZ_LT992465.1,Staphylococcus aureus isolate 6_LA_232 chromosome I
GCF_001019125.2_ASM101912v2,NZ_CP026957.1,Staphylococcus aureus strain FDAARGOS_43
GCF_003193885.1_ASM319388v1,NZ_CP029658.1,Staphylococcus aureus strain AR_0467
GCF_001611385.1_ASM161138v1,NZ_CP012974.1,Staphylococcus aureus strain ST20130943
GCF_000626615.2_ASM62661v3,NZ_CP007539.2,Staphylococcus aureus subsp. aureus strain FDAARGOS_5
GCF_900474525.1_40677_F01,NZ_LS483301.1,Staphylococcus aureus strain NCTC13394
GCF_004136655.1_ASM413665v1,NZ_CP030136.1,Staphylococcus aureus strain S57
GCF_009912055.1_ASM991205v1,NZ_CP047807.1,Staphylococcus aureus strain UP_1612
GCF_003431365.1_ASM343136v1,NZ_CP031779.1,Staphylococcus aureus strain CFBR-105
GCF_005706855.1_ASM570685v1,NZ_CP038850.1,Staphylococcus aureus strain Lr2
GCF_009911815.1_ASM991181v1,NZ_CP047811.1,Staphylococcus aureus strain UP_1522
GCF_001018725.2_ASM101872v2,NZ_CP026961.1,Staphylococcus aureus strain FDAARGOS_10
GCF_900637155.1_49386_H02,NZ_LR134351.1,Staphylococcus aureus strain NCTC13811
GCF_006094915.1_ASM609491v1,NZ_CP035101.1,Staphylococcus aureus subsp. aureus strain ATCC 12600
GCF_009914455.1_ASM991445v1,NZ_CP045468.1,Staphylococcus aureus strain SAW1
GCF_000284535.1_ASM28453v1,NC_017763.1,Staphylococcus aureus subsp. aureus HO 5096 0412
GCF_003073435.1_ASM307343v1,NZ_CP029032.1,Staphylococcus aureus subsp. aureus strain OXLIM
GCF_007726465.1_ASM772646v1,NZ_CP042046.1,Staphylococcus aureus strain B2-7A
GCF_008370815.1_ASM837081v1,NZ_CP043302.1,Staphylococcus aureus strain 16445
GCF_008619935.1_ASM861993v1,NZ_AP020318.1,Staphylococcus aureus KUH180038 DNA
GCF_900323905.1_24117-WT,NZ_LT996891.1,"Staphylococcus aureus isolate 24117-WT genome assembly, chromosome: I"
GCF_009650155.1_ASM965015v1,NZ_CP045866.1,Staphylococcus aureus strain CFSAN007894
GCF_008329865.1_ASM832986v1,NZ_CP031888.1,Staphylococcus aureus strain CFSAN082782
GCF_003193765.1_ASM319376v1,NZ_CP029652.1,Staphylococcus aureus strain AR_0471
GCF_000769575.1_ASM76957v1,NZ_CP009681.1,Staphylococcus aureus subsp. aureus strain Gv69
GCF_008620055.1_ASM862005v1,NZ_AP020320.1,Staphylococcus aureus KUH180062 DNA
GCF_001307235.1_ASM130723v1,NZ_CP012756.1,Staphylococcus aureus subsp. aureus strain JS395
GCF_003354925.1_ASM335492v1,NZ_CP022720.1,Staphylococcus aureus strain 135
GCF_001656045.1_ASM165604v1,NZ_CP015645.1,Staphylococcus aureus strain 08-02119
GCF_000967365.1_ASM96736v1,NC_020532.1,Staphylococcus aureus subsp. aureus ST228
GCF_000010465.1_ASM1046v1,NC_009641.1,Staphylococcus aureus subsp. aureus str. Newman
GCF_001296985.1_ASM129698v1,NZ_CP010402.1,Staphylococcus aureus subsp. aureus strain GR2
GCF_003354745.1_ASM335474v1,NZ_CP022901.1,Staphylococcus aureus strain 466
GCF_000695875.1_ASM69587v1,NZ_CP007690.1,Staphylococcus aureus strain UA-S391_USA300 isolate abscess/wound isolate
GCF_009739865.1_ASM973986v1,NZ_CP033990.1,Staphylococcus aureus strain P1D14C1
GCF_003354865.1_ASM335486v1,NZ_CP022718.1,Staphylococcus aureus strain 45
GCF_900474555.1_40657_E01,NZ_LS483308.1,Staphylococcus aureus strain NCTC13137
GCF_003354605.1_ASM335460v1,NZ_CP022898.1,Staphylococcus aureus strain 422
GCF_900324405.1_21_LA_436,NZ_LT992476.1,Staphylococcus aureus isolate 21_LA_436 chromosome I
GCF_002795285.1_ASM279528v1,NZ_CP019574.1,Staphylococcus aureus strain USA400-0051
GCF_009912095.1_ASM991209v1,NZ_CP047784.1,Staphylococcus aureus strain UP_1209
GCF_000967405.1_ASM96740v1,NC_020537.1,Staphylococcus aureus subsp. aureus ST228
GCF_005890015.1_ASM589001v1,NZ_CP040622.1,Staphylococcus aureus strain JKD6004
GCF_007726525.1_ASM772652v1,NZ_CP042153.1,Staphylococcus aureus strain B4-59C
GCF_000967325.1_ASM96732v1,NC_020529.1,Staphylococcus aureus subsp. aureus ST228
GCF_001611345.1_ASM161134v1,NZ_CP012978.1,Staphylococcus aureus strain ST20130941
GCF_900475245.1_43024_E01,NZ_LS483365.1,Staphylococcus aureus subsp. aureus NCTC 8325 chromosome 1
GCF_900607245.1_JKD6009,NZ_LR027876.1,Staphylococcus aureus strain JKD6009
GCF_000597965.1_ASM59796v1,NZ_CP007454.1,Staphylococcus aureus strain 502A isolate RN6607
GCF_009912435.1_ASM991243v1,NZ_CP047781.1,Staphylococcus aureus strain UP_1452
GCF_001900185.1_ASM190018v1,NZ_CP018205.1,Staphylococcus aureus subsp. aureus strain HG001
GCF_900474755.1_41236_E02,NZ_LS483324.1,Staphylococcus aureus strain NCTC10344
GCF_004136235.1_ASM413623v1,NZ_CP030137.1,Staphylococcus aureus strain M51
GCF_003354585.1_ASM335458v1,NZ_CP022904.1,Staphylococcus aureus strain 629
GCF_004026165.1_ASM402616v1,NZ_CP035005.1,Staphylococcus aureus strain PCFH-226
GCF_001019495.2_ASM101949v2,NZ_CP026958.1,Staphylococcus aureus strain FDAARGOS_40
GCF_002089035.1_ASM208903v1,NZ_CP019591.1,Staphylococcus aureus strain 293G
GCF_001183725.2_ASM118372v2,NZ_CP012120.2,Staphylococcus aureus subsp. aureus strain USA300_2014.C02
GCF_900324325.1_14_5418,NZ_LT992473.1,Staphylococcus aureus isolate 14_5418 chromosome I
GCF_002202095.1_ASM220209v1,NZ_CP021907.1,Staphylococcus aureus strain Seattle 1945 isolate G478
GCF_008619595.1_ASM861959v1,NZ_AP020315.1,Staphylococcus aureus KUH140087 DNA
GCF_900607265.1_BPH2003,NZ_LR027878.1,Staphylococcus aureus strain BPH2003
GCF_002000725.1_ASM200072v1,NZ_CP014423.1,Staphylococcus aureus strain USA300-SUR17
GCF_002356675.1_ASM235667v1,NZ_AP014921.1,"Staphylococcus aureus DNA, strain: JH4899"
GCF_002000805.1_ASM200080v1,NZ_CP014435.1,Staphylococcus aureus strain USA300-SUR21
GCF_003595405.1_ASM359540v1,NZ_CP014368.1,Staphylococcus aureus strain USA300-SUR3
GCF_900474675.1_40961_F01,NZ_LS483314.1,Staphylococcus aureus strain NCTC3761
GCF_002786535.1_ASM278653v1,NZ_CP022291.1,Staphylococcus aureus subsp. aureus strain EDCC5464
GCF_004368035.1_ASM436803v1,NZ_CP026646.1,Staphylococcus aureus strain 2288
GCF_009912895.1_ASM991289v1,NZ_CP047856.1,Staphylococcus aureus strain UP_1435
GCF_002000665.1_ASM200066v1,NZ_CP014412.1,Staphylococcus aureus strain USA300-SUR14
GCF_003203655.1_ASM320365v1,NZ_CP029671.1,Staphylococcus aureus strain AR_0222
GCF_008619075.1_ASM861907v1,NZ_AP020324.1,Staphylococcus aureus KUN1163 DNA
GCF_002025125.1_ASM202512v1,NZ_CP020019.1,Staphylococcus aureus strain 08S00974
GCF_009912255.1_ASM991225v1,NZ_CP047833.1,Staphylococcus aureus strain UP_926
GCF_001018775.2_ASM101877v2,NZ_CP026063.1,Staphylococcus aureus strain NRS149
GCF_009740205.1_ASM974020v1,NZ_CP034008.1,Staphylococcus aureus strain P1D5C2
GCF_009739695.1_ASM973969v1,NZ_CP033987.1,Staphylococcus aureus strain P2D1C1
GCF_001640925.1_ASM164092v1,NZ_CP013955.1,Staphylococcus aureus strain NCCP14562
GCF_000237265.1_ASM23726v1,NC_017349.1,Staphylococcus aureus subsp. aureus LGA251
GCF_001018915.2_ASM101891v2,NZ_CP026070.1,Staphylococcus aureus strain NRS133
GCF_001515745.1_ASM151574v1,NZ_CP012011.1,Staphylococcus aureus subsp. aureus strain HC1340
GCF_001548295.1_ASM154829v1,NZ_AP014942.1,"Staphylococcus aureus DNA, strain: FDA209P"
GCF_003073635.1_ASM307363v1,NZ_CP029080.1,Staphylococcus aureus strain AR466
GCF_009912915.1_ASM991291v1,NZ_CP047849.1,Staphylococcus aureus strain UP_403
GCF_009912775.1_ASM991277v1,NZ_CP047841.1,Staphylococcus aureus strain UP_644
GCF_002850395.1_ASM285039v1,NZ_CP020713.1,Staphylococcus aureus strain K17
GCF_003342735.1_ASM334273v1,NZ_CP031131.1,Staphylococcus aureus strain E16SA093
GCF_009739715.1_ASM973971v1,NZ_CP033977.1,Staphylococcus aureus strain P2D15C1
GCF_900607285.1_BPH3244,NZ_LR027877.1,Staphylococcus aureus isolate BPH3244
GCF_003184985.1_ASM318498v1,NZ_CP028468.1,Staphylococcus aureus strain IT1-S
GCF_009913175.1_ASM991317v1,NZ_CP047863.1,Staphylococcus aureus strain UP_1106
GCF_000009585.1_ASM958v1,NC_017333.1,Staphylococcus aureus subsp. aureus ST398
GCF_003354545.1_ASM335454v1,NZ_CP022717.1,Staphylococcus aureus strain 27
GCF_001444345.1_ASM144434v1,NZ_CP013137.1,Staphylococcus aureus strain XQ
GCF_900323925.1_1549-WT,NZ_LT992434.1,"Staphylococcus aureus isolate 1549-WT genome assembly, chromosome: I"
GCF_009913035.1_ASM991303v1,NZ_CP047852.1,Staphylococcus aureus strain UP_274
GCF_001465755.1_ASM146575v1,NZ_CP013621.1,Staphylococcus aureus strain RIVM3897
GCF_900474725.1_40677_A01,NZ_LS483319.1,Staphylococcus aureus strain NCTC13140
GCF_001278745.1_ASM127874v1,NZ_CP012593.1,Staphylococcus aureus strain HOU1444-VR
GCF_009912295.1_ASM991229v1,NZ_CP047780.1,Staphylococcus aureus strain UP_1539
GCF_003073775.1_ASM307377v1,NZ_CP029086.1,Staphylococcus aureus strain AR462
GCF_004772055.1_ASM477205v1,NZ_CP038269.1,Staphylococcus aureus strain O331 isolate B114
GCF_009912855.1_ASM991285v1,NZ_CP047843.1,Staphylococcus aureus strain UP_620
GCF_001298325.2_ASM129832v2,NZ_CP019945.1,Staphylococcus aureus strain BA01611
GCF_009937785.1_ASM993778v1,NZ_CP047809.1,Staphylococcus aureus strain UP_1591
GCF_005705815.1_ASM570581v1,NZ_CP039160.1,Staphylococcus aureus strain Lr6
GCF_900474715.1_41004_D01,NZ_LS483311.1,Staphylococcus aureus strain NCTC6136
GCF_008619415.1_ASM861941v1,NZ_AP020313.1,Staphylococcus aureus KUH140046 DNA
GCF_009912635.1_ASM991263v1,NZ_CP047795.1,Staphylococcus aureus strain UP_490
GCF_900017775.1_NZAK3,NZ_LT009690.1,Staphylococcus aureus strain NZAK3
GCF_003193705.1_ASM319370v1,NZ_CP029675.1,Staphylococcus aureus strain AR_0219
GCF_002000585.1_ASM200058v1,NZ_CP014397.1,Staphylococcus aureus strain USA300-SUR10
GCF_003193965.1_ASM319396v1,NZ_CP029667.1,Staphylococcus aureus strain AR_0225
GCF_900635285.1_40677_B02,NZ_LR134087.1,Staphylococcus aureus strain NCTC7121 chromosome 1
GCF_008330585.1_ASM833058v1,NZ_CP031886.1,Staphylococcus aureus strain CFSAN082783
GCF_003354725.1_ASM335472v1,NZ_CP022899.1,Staphylococcus aureus strain 143
GCF_002085525.1_ASM208552v1,NZ_CP020619.1,Staphylococcus aureus strain JE2
GCF_003186105.1_ASM318610v1,NZ_CP029629.1,Staphylococcus aureus strain MOK063
GCF_002310435.1_ASM231043v1,NZ_CP023390.1,Staphylococcus aureus subsp. aureus str. Newman strain NYU_Newman
GCF_004153365.1_ASM415336v1,NZ_CP035671.1,Staphylococcus aureus subsp. aureus strain VB31683
GCF_003194025.1_ASM319402v1,NZ_CP029680.1,Staphylococcus aureus strain AR_0215
GCF_009857055.1_ASM985705v1,NZ_CP047321.1,Staphylococcus aureus strain RJ1267
GCF_003354945.1_ASM335494v1,NZ_CP022908.1,Staphylococcus aureus strain 545
GCF_002850415.1_ASM285041v1,NZ_CP020714.1,Staphylococcus aureus strain K18
GCF_000144955.1_ASM14495v1,NC_017338.1,Staphylococcus aureus subsp. aureus JKD6159
GCF_003354665.1_ASM335466v1,NZ_CP022902.1,Staphylococcus aureus strain 165
GCF_004193875.1_ASM419387v1,NZ_CP020957.1,Staphylococcus aureus strain C3948
GCF_000967345.1_ASM96734v1,NC_020564.1,Staphylococcus aureus subsp. aureus ST228
GCF_003354805.1_ASM335480v1,NZ_CP022892.1,Staphylococcus aureus strain 54
GCF_008620175.1_ASM862017v1,NZ_AP020322.1,Staphylococcus aureus KUH180129 DNA
GCF_003010875.1_ASM301087v1,NZ_CP020354.1,Staphylococcus aureus strain FORC59
GCF_009912455.1_ASM991245v1,NZ_CP047787.1,Staphylococcus aureus strain UP_1108
GCF_004136255.1_ASM413625v1,NZ_CP030138.1,Staphylococcus aureus strain M48
GCF_900155335.1_NZ15MR0322,NZ_LT699704.1,Staphylococcus aureus strain NZ15MR0322
GCF_002895385.1_ASM289538v1,NZ_CP018629.1,Staphylococcus aureus strain MRSA107
GCF_003426145.1_ASM342614v1,NZ_CP031673.1,Staphylococcus aureus strain MOZ66
GCF_900474565.1_41315_B01,NZ_LS483302.1,Staphylococcus aureus strain NCTC8726
GCF_007726545.1_ASM772654v1,NZ_CP042107.1,Staphylococcus aureus strain B8-13D
GCF_001611325.1_ASM161132v1,NZ_CP012979.1,Staphylococcus aureus strain ST20130940
GCF_003354985.1_ASM335498v1,NZ_CP022905.1,Staphylococcus aureus strain 628
GCF_900324365.1_19_LA_388,NZ_LT992474.1,Staphylococcus aureus isolate 19_LA_388 chromosome I
GCF_002633845.1_ASM263384v1,NZ_CP017679.1,Staphylococcus aureus strain CFSAN007883
GCF_008244745.1_ASM824474v1,NZ_CP043389.1,Staphylococcus aureus strain NRS384-rpoB-H481N-SCV
GCF_000967385.1_ASM96738v1,NC_020536.1,Staphylococcus aureus subsp. aureus ST228
GCF_003264775.1_ASM326477v1,NZ_CP029685.1,Staphylococcus aureus strain CMRSA-3
GCF_900323965.1_1549-SCV,NZ_LT992435.1,"Staphylococcus aureus isolate 1549-SCV genome assembly, chromosome: I"
GCF_003595385.1_ASM359538v1,NZ_CP014365.1,Staphylococcus aureus strain USA300-SUR2
GCF_007826355.1_ASM782635v1,NZ_CP041037.1,Staphylococcus aureus strain NP66
GCF_003330905.1_ASM333090v1,NZ_CP030326.1,Staphylococcus aureus strain AR_474
GCF_001019255.2_ASM101925v2,NZ_CP026968.1,Staphylococcus aureus strain FDAARGOS_1
GCF_000815205.1_ASM81520v1,NZ_CP010299.1,Staphylococcus aureus strain ATCC BAA1680
GCF_000009005.1_ASM900v1,NC_007622.1,Staphylococcus aureus RF122
GCF_003425885.1_ASM342588v1,NZ_CP031661.1,Staphylococcus aureus strain 82
GCF_009728755.1_ASM972875v1,NZ_CP033112.1,Staphylococcus aureus strain ST20130944
GCF_005889995.1_ASM588999v1,NZ_CP040619.1,Staphylococcus aureus strain J01
GCF_001887075.1_ASM188707v1,NZ_CP013218.1,Staphylococcus aureus subsp. aureus strain LA-MRSA ST398 isolate E154
GCF_000626615.1_ASM62661v1,NZ_CP007539.1,Staphylococcus aureus strain NRS 100
GCF_000452385.2_ASM45238v2,NZ_CP012409.1,Staphylococcus aureus subsp. aureus Tager 104
GCF_900635255.1_40415_D02,NZ_LR134084.1,Staphylococcus aureus strain NCTC13552
GCF_000159535.2_ASM15953v2,NC_017342.1,Staphylococcus aureus subsp. aureus TCH60
GCF_009769095.1_ASM976909v1,NZ_CP043843.1,Staphylococcus aureus strain NCCP 16830
GCF_003193685.1_ASM319368v1,NZ_CP029669.1,Staphylococcus aureus strain AR_0223
GCF_006364675.1_ASM636467v1,NZ_CP040998.1,Staphylococcus aureus strain FDAARGOS_773
GCF_003955945.1_ASM395594v1,NZ_CP034102.1,Staphylococcus aureus strain O267
GCF_009912495.1_ASM991249v1,NZ_CP047785.1,Staphylococcus aureus strain UP_1186
GCF_002097595.2_ASM209759v2,NZ_CP015447.2,Staphylococcus aureus strain M92
GCF_900636335.1_40798_F01,NZ_LR134271.1,Staphylococcus aureus strain NCTC7988 chromosome 1
GCF_003030065.1_ASM303006v1,NZ_CP028190.1,Staphylococcus aureus strain CFSAN018749
GCF_900324065.1_24117-SCV,NZ_LT996890.1,"Staphylococcus aureus isolate 24117-SCV genome assembly, chromosome: I"
GCF_900324265.1_9_LA_281,NZ_LT992460.1,Staphylococcus aureus isolate 9_LA_281 chromosome I
GCF_002633765.1_ASM263376v1,NZ_CP017685.1,Staphylococcus aureus strain CFSAN007835
GCF_002209325.1_ASM220932v1,NZ_CP017115.1,Staphylococcus aureus strain FORC_045
GCF_009912035.1_ASM991203v1,NZ_CP047778.1,Staphylococcus aureus strain UP_1572
GCF_000815245.1_ASM81524v1,NZ_CP010300.1,Staphylococcus aureus strain ATCC BAA1680
GCF_009176785.1_ASM917678v1,NZ_AP019543.1,Staphylococcus aureus KG-18 DNA
GCF_001725965.1_ASM172596v1,NZ_CP012692.1,Staphylococcus aureus strain FORC_027
GCF_009912715.1_ASM991271v1,NZ_CP047791.1,Staphylococcus aureus strain UP_818
GCF_900607275.1_BPH2070,NZ_LR027873.1,Staphylococcus aureus strain BPH2070
GCF_003347055.1_ASM334705v1,NZ_CP022607.1,Staphylococcus aureus strain FORC_061
GCF_900635265.1_40574_H02,NZ_LR134085.1,Staphylococcus aureus strain NCTC12233 chromosome 1
GCF_002000785.1_ASM200078v1,NZ_CP014432.1,Staphylococcus aureus strain USA300-SUR20
GCF_004772175.1_ASM477217v1,NZ_CP038268.1,Staphylococcus aureus strain O55 isolate B118
GCF_009912975.1_ASM991297v1,NZ_CP047867.1,Staphylococcus aureus strain UP_419
GCF_003073655.1_ASM307365v1,NZ_CP029082.1,Staphylococcus aureus strain AR465
GCF_003855575.1_ASM385557v1,NZ_CP034098.1,Staphylococcus aureus strain 80wphwpl_v1
GCF_009913115.1_ASM991311v1,NZ_CP047803.1,Staphylococcus aureus strain UP_1097
GCF_001465675.1_ASM146567v1,NZ_CP013619.1,Staphylococcus aureus strain RIVM1607
GCF_007954445.1_ASM795444v1,NZ_CP042346.1,Staphylococcus aureus strain BSN9S
GCF_001656075.1_ASM165607v1,NZ_CP015646.1,Staphylococcus aureus strain 08-02300
GCF_000027045.1_ASM2704v1,NC_017331.1,Staphylococcus aureus subsp. aureus TW20
GCF_001019435.2_ASM101943v2,NZ_CP026069.1,Staphylococcus aureus strain NRS1
GCF_002089095.1_ASM208909v1,NZ_CP019595.1,Staphylococcus aureus strain GD1677
GCF_009739775.1_ASM973977v1,NZ_CP034002.1,Staphylococcus aureus strain P1D8C1
GCF_900635245.1_40415_C02,NZ_LR134086.1,Staphylococcus aureus strain NCTC13142 chromosome 1
GCF_001019575.2_ASM101957v2,NZ_CP026074.1,Staphylococcus aureus strain HPV107
GCF_000025145.1_ASM2514v1,NC_017340.1,Staphylococcus aureus 04-02981
GCF_009913055.1_ASM991305v1,NZ_CP047800.1,Staphylococcus aureus strain UP_296
GCF_900620235.1_BPH2900,NZ_LR130513.1,Staphylococcus aureus strain BPH2900
GCF_005931015.1_ASM593101v1,NZ_CP040229.1,Staphylococcus aureus strain GD487
GCF_003288395.1_ASM328839v1,NZ_CP030323.1,Staphylococcus aureus strain AR_475
GCF_900324225.1_7_4623,NZ_LT992458.1,Staphylococcus aureus isolate 7_4623 chromosome I
GCF_900096745.1_AUS0325,NZ_LT615218.1,Staphylococcus aureus strain AUS0325
GCF_009912655.1_ASM991265v1,NZ_CP047830.1,Staphylococcus aureus strain UP_996
GCF_004614315.1_ASM461431v1,NZ_CP020960.1,Staphylococcus aureus strain JK3137
GCF_003432345.1_ASM343234v1,NZ_CP031839.1,Staphylococcus aureus strain NX-T55
GCF_005706035.1_ASM570603v1,NZ_CP039157.1,Staphylococcus aureus strain P10
GCF_001515665.1_ASM151566v1,NZ_CP012015.1,Staphylococcus aureus subsp. aureus strain Gv51
GCF_009912835.1_ASM991283v1,NZ_CP047796.1,Staphylococcus aureus strain UP_462
GCF_003073715.1_ASM307371v1,NZ_CP029087.1,Staphylococcus aureus strain AR461
GCF_001018835.2_ASM101883v2,NZ_CP026064.1,Staphylococcus aureus strain NRS271
GCF_900324415.1_22_LA_562,NZ_LT992477.1,Staphylococcus aureus isolate 22_LA_562 chromosome I
GCF_001611405.1_ASM161140v1,NZ_CP012972.1,Staphylococcus aureus strain ST20130938
GCF_000412775.1_ASM41277v1,NC_021554.1,Staphylococcus aureus CA-347
GCF_002204575.1_ASM220457v1,NZ_CP017091.1,Staphylococcus aureus subsp. aureus strain ISU926
GCF_002089055.1_ASM208905v1,NZ_CP019592.1,Staphylococcus aureus strain GD5
GCF_009912375.1_ASM991237v1,NZ_CP047828.1,Staphylococcus aureus strain UP_1073
GCF_900636695.1_43874_B01,NZ_LR134305.1,Staphylococcus aureus strain NCTC1803
GCF_009911965.1_ASM991196v1,NZ_CP047820.1,Staphylococcus aureus strain UP_1395
GCF_001018655.2_ASM101865v2,NZ_CP026962.1,Staphylococcus aureus strain FDAARGOS_6
GCF_000828035.1_ASM82803v1,NZ_CP010526.1,Staphylococcus aureus subsp. aureus ST772-MRSA-V strain DAR4145
GCF_001019205.2_ASM101920v2,NZ_CP026953.1,Staphylococcus aureus strain FDAARGOS_48
GCF_002000745.1_ASM200074v1,NZ_CP014426.1,Staphylococcus aureus strain USA300-SUR18
GCF_001558795.1_ASM155879v1,NZ_CP014064.1,Staphylococcus aureus strain FDAARGOS_159
GCF_004614295.1_ASM461429v1,NZ_CP020956.1,Staphylococcus aureus strain C8879
GCF_900474735.1_40871_F01,NZ_LS483316.1,Staphylococcus aureus strain NCTC13395
GCF_000011525.1_ASM1152v1,NC_002953.3,Staphylococcus aureus subsp. aureus MSSA476
GCF_007726495.1_ASM772649v1,NZ_CP042043.1,Staphylococcus aureus strain B2-15A
GCF_001717665.1_ASM171766v2,NZ_CP016856.1,Staphylococcus aureus subsp. aureus strain 2148.N
GCF_003185005.1_ASM318500v1,NZ_CP028470.1,Staphylococcus aureus strain IT4-R
GCF_000953255.1_Staphylococcus_aureus_Sa_ILRI_217,NZ_LN626917.1,"Staphylococcus aureus genome assembly Staphylococcus_aureus_ILRI_Eymole1/1, chromosome : I"
GCF_002000605.1_ASM200060v1,NZ_CP014402.1,Staphylococcus aureus strain USA300-SUR11
GCF_001457495.1_NCTC13435,NZ_LN831036.1,"Staphylococcus aureus genome assembly NCTC13435, chromosome : 1"
GCF_900324285.1_4_LA_208,NZ_LT992466.1,Staphylococcus aureus isolate 4_LA_208 chromosome I
GCF_003595465.1_ASM359546v1,NZ_CP014381.1,Staphylococcus aureus strain USA300-SUR6
GCF_001717725.1_ASM171772v2,NZ_CP016863.1,Staphylococcus aureus subsp. aureus strain 1625.C01
GCF_000296595.1_ASM29659v1,NC_018608.1,Staphylococcus aureus 08BA02176
GCF_001975005.1_ASM197500v1,NZ_CP018766.1,Staphylococcus aureus subsp. aureus strain UCI62
GCF_009912695.1_ASM991269v1,NZ_CP047837.1,Staphylococcus aureus strain UP_719
GCF_002000865.1_ASM200086v1,NZ_CP014444.1,Staphylococcus aureus strain USA300-SUR24
GCF_000160335.2_ASM16033v2,NC_022113.1,Staphylococcus aureus subsp. aureus 55/2053
GCF_000013465.1_ASM1346v1,NC_007793.1,Staphylococcus aureus subsp. aureus USA300_FPR3757
GCF_001618305.1_ASM161830v1,NZ_CP015173.1,Staphylococcus aureus strain RIVM6519
GCF_000013425.1_ASM1342v1,NC_007795.1,Staphylococcus aureus subsp. aureus NCTC 8325
GCF_002089115.1_ASM208911v1,NZ_CP019594.1,Staphylococcus aureus strain GD1539
GCF_007726325.1_ASM772632v1,NZ_CP042003.1,Staphylococcus aureus strain B3-14B
GCF_003945425.1_ASM394542v1,NZ_AP019306.1,Staphylococcus aureus TUM9463 DNA
GCF_001018975.2_ASM101897v2,NZ_CP026071.1,Staphylococcus aureus strain NRS143
GCF_900607295.1_BPH2869,NZ_LR027869.1,Staphylococcus aureus isolate BPH2869
GCF_009913095.1_ASM991309v1,NZ_CP047859.1,Staphylococcus aureus strain UP_1405
GCF_003203635.1_ASM320363v1,NZ_CP029663.1,Staphylococcus aureus strain AR_0228
GCF_002025145.1_ASM202514v1,NZ_CP020020.1,Staphylococcus aureus subsp. aureus strain ATCC 6538
GCF_003991015.1_ASM399101v1,NZ_CP029474.1,Staphylococcus aureus strain USA 100 isolate 30-47
GCF_000012045.1_ASM1204v1,NC_002951.2,Staphylococcus aureus subsp. aureus COL
GCF_001021895.1_ASM102189v1,NZ_CP007674.1,Staphylococcus aureus strain CA15
